X,Y,I
0.002445,0.323191,0.199998
0.002575,0.32313,0.199998
0.002653,0.323093,0.199998
0.002709,0.323066,0.199998
0.002739,0.323054,0.199998
0.002749,0.323049,0.199998
0.002759,0.323044,0.199998
0.00276,0.323044,0.199998
0.002763,0.323043,0.199998
0.002764,0.323043,0.199998
0.002762,0.323043,0.199998
0.002763,0.323043,0.199998
0.002762,0.323043,0.199998
0.002761,0.323043,0.199998
0.002761,0.323043,0.199998
0.00276,0.323043,0.199998
0.002865,0.323002,0.199998
0.003058,0.322913,0.199998
0.003303,0.322816,0.199997
0.003571,0.322703,0.199997
0.00384,0.322603,0.199997
0.004034,0.322529,0.199996
0.004189,0.322464,0.199995
0.004294,0.322421,0.199991
0.004372,0.322387,0.199991
0.004408,0.322379,0.199991
0.004426,0.322373,0.199991
0.004431,0.322369,0.199991
0.00444,0.322367,0.199991
0.004448,0.322364,0.199991
0.004451,0.322364,0.199991
0.004455,0.322362,0.199991
0.004459,0.322361,0.199991
0.004457,0.322361,0.199991
0.004456,0.322361,0.199991
0.004459,0.322361,0.199991
0.004552,0.322324,0.199991
0.004737,0.322258,0.199991
0.005008,0.322136,0.19999
0.005329,0.321995,0.199989
0.00567,0.321862,0.199989
0.005947,0.321773,0.199989
0.006168,0.321674,0.199988
0.006325,0.321606,0.199987
0.00644,0.321562,0.199986
0.006518,0.321534,0.199982
0.006566,0.321517,0.199982
0.00659,0.321504,0.199981
0.006615,0.321492,0.199981
0.006628,0.321486,0.199981
0.006639,0.321483,0.19998
0.006649,0.321479,0.19998
0.006651,0.321475,0.19998
0.006654,0.321473,0.199979
0.006665,0.321472,0.199979
0.006671,0.321471,0.199979
0.006762,0.321437,0.199977
0.006942,0.321363,0.199977
0.007194,0.321258,0.199976
0.007539,0.321127,0.199976
0.007962,0.320948,0.199976
0.008323,0.320804,0.199974
0.00863,0.320677,0.199973
0.008885,0.32058,0.199968
0.009058,0.320513,0.199966
0.009176,0.320458,0.199962
0.009276,0.320418,0.199961
0.009337,0.320395,0.199959
0.009381,0.320377,0.199956
0.009412,0.320364,0.199954
0.009444,0.320355,0.199953
0.009468,0.320345,0.199953
0.009476,0.320342,0.199951
0.009484,0.320342,0.19995
0.009496,0.320338,0.199946
0.009509,0.320334,0.199946
0.009577,0.320311,0.199945
0.009749,0.320247,0.199944
0.009977,0.320148,0.199943
0.010332,0.319995,0.19994
0.010755,0.319819,0.199936
0.011175,0.319644,0.199934
0.011544,0.319498,0.199932
0.011884,0.319355,0.199932
0.012145,0.31926,0.19993
0.01235,0.319174,0.199929
0.012485,0.319111,0.199925
0.012579,0.319077,0.199923
0.012662,0.319048,0.19992
0.012722,0.319029,0.199919
0.012755,0.319016,0.199918
0.012796,0.319003,0.199915
0.012836,0.318994,0.199914
0.012853,0.318989,0.199912
0.012868,0.318982,0.199912
0.012888,0.318976,0.199911
0.012954,0.318946,0.19991
0.013108,0.318886,0.199907
0.013339,0.318783,0.199903
0.013668,0.318644,0.199901
0.014097,0.318467,0.199897
0.014594,0.318246,0.199894
0.015067,0.318056,0.199893
0.015458,0.317902,0.199889
0.015784,0.31778,0.199885
0.016084,0.317656,0.19988
0.016287,0.317579,0.199878
0.016443,0.317523,0.199875
0.016569,0.317472,0.199873
0.016656,0.317448,0.199869
0.016736,0.317424,0.199867
0.01682,0.317397,0.199861
0.016862,0.317385,0.199859
0.016915,0.317368,0.199858
0.016949,0.317361,0.199857
0.016992,0.317354,0.199856
0.017043,0.317334,0.19985
0.017198,0.317275,0.19985
0.0174,0.317189,0.199849
0.017713,0.317049,0.199845
0.018132,0.316867,0.199833
0.018616,0.316644,0.199829
0.019188,0.316384,0.19982
0.019681,0.316194,0.199817
0.02012,0.316003,0.199812
0.02048,0.315855,0.199806
0.020754,0.315737,0.199803
0.020981,0.315652,0.199799
0.021196,0.315574,0.199792
0.021354,0.315518,0.199788
0.021502,0.315474,0.199786
0.02162,0.315426,0.199781
0.021714,0.315404,0.199775
0.021792,0.315374,0.199765
0.021861,0.315356,0.199761
0.021931,0.315332,0.199758
0.022002,0.31531,0.199754
0.022146,0.315258,0.199751
0.022331,0.315191,0.199746
0.022597,0.315074,0.199744
0.022974,0.314911,0.199735
0.023453,0.314714,0.199731
0.024001,0.3145,0.19972
0.024559,0.314267,0.199714
0.025082,0.31404,0.199709
0.025536,0.313865,0.199694
0.025918,0.313709,0.199684
0.026242,0.313595,0.199675
0.026486,0.313507,0.199666
0.026745,0.313424,0.199656
0.026941,0.31336,0.199647
0.027113,0.313302,0.199639
0.027289,0.313237,0.199631
0.027436,0.313189,0.199623
0.027529,0.313161,0.199617
0.027641,0.313126,0.199611
0.027728,0.313101,0.199605
0.027884,0.313055,0.199594
0.028098,0.312972,0.199591
0.02834,0.312866,0.199583
0.028693,0.312737,0.199579
0.02916,0.312543,0.199571
0.02972,0.312301,0.199557
0.030324,0.312058,0.199547
0.030861,0.311844,0.199531
0.03138,0.311644,0.199517
0.031845,0.311463,0.199503
0.032248,0.311325,0.199489
0.032583,0.311192,0.199483
0.03288,0.311072,0.199476
0.033159,0.31097,0.199468
0.033387,0.310892,0.199454
0.033631,0.310822,0.199446
0.033828,0.310752,0.199434
0.033991,0.310703,0.199419
0.034165,0.310647,0.199412
0.03432,0.310603,0.199401
0.034497,0.310547,0.199388
0.034722,0.310471,0.199379
0.034955,0.310377,0.199366
0.035304,0.310231,0.199359
0.035743,0.31006,0.19935
0.036292,0.309847,0.199331
0.036879,0.309609,0.19932
0.037441,0.309377,0.199304
0.037988,0.309171,0.199287
0.038527,0.308964,0.19927
0.039015,0.308771,0.199255
0.039439,0.30862,0.199239
0.039801,0.308495,0.199219
0.040169,0.308375,0.199207
0.040488,0.308265,0.199195
0.040794,0.308151,0.19917
0.041091,0.308064,0.199159
0.041325,0.307988,0.199143
0.04155,0.307913,0.199133
0.041764,0.307837,0.199114
0.041948,0.30779,0.199102
0.042183,0.307704,0.199087
0.042456,0.307619,0.199071
0.042807,0.30749,0.199055
0.043238,0.307313,0.199036
0.043725,0.307119,0.199016
0.04431,0.306863,0.199002
0.044949,0.306592,0.198982
0.045502,0.306383,0.198965
0.046085,0.306148,0.198942
0.046621,0.305958,0.198914
0.047161,0.30576,0.198893
0.04758,0.30561,0.198866
0.048047,0.305433,0.198843
0.048423,0.3053,0.198827
0.04878,0.305172,0.198806
0.049116,0.305074,0.198783
0.049463,0.304953,0.198761
0.049772,0.304855,0.198739
0.050042,0.304781,0.198726
0.050297,0.304706,0.19871
0.050615,0.304603,0.198696
0.050879,0.304502,0.198683
0.051258,0.30436,0.198665
0.051673,0.304193,0.198649
0.052181,0.30401,0.198628
0.052758,0.303777,0.198601
0.053424,0.303486,0.198568
0.054009,0.303233,0.19855
0.054663,0.30299,0.198519
0.055247,0.302778,0.198493
0.055849,0.302563,0.198466
0.056376,0.302382,0.198445
0.056902,0.302179,0.198418
0.057387,0.301995,0.198388
0.057848,0.301832,0.198366
0.05827,0.301704,0.198342
0.058713,0.301566,0.198311
0.059122,0.301435,0.198278
0.059499,0.301309,0.198256
0.05983,0.30121,0.198234
0.060172,0.301086,0.198208
